input_id	dealiased_id	standard_id	short_id
doi:10.1016/j.jmb.2021.167187	doi:10.1016/j.jmb.2021.167187	doi:10.1016/j.jmb.2021.167187	IpfJPPLG
doi:10.1101/2022.01.10.475481	doi:10.1101/2022.01.10.475481	doi:10.1101/2022.01.10.475481	2TrAHWcN
doi:10.1038/s41596-021-00648-5	doi:10.1038/s41596-021-00648-5	doi:10.1038/s41596-021-00648-5	EGfvt7aR
doi:10.1146/annurev.biochem.73.011303.074112	doi:10.1146/annurev.biochem.73.011303.074112	doi:10.1146/annurev.biochem.73.011303.074112	WmTa9taa
doi:10.1083/jcb.200908082	doi:10.1083/jcb.200908082	doi:10.1083/jcb.200908082	XQJ3R1HJ
doi:10.1016/j.jsb.2016.10.004	doi:10.1016/j.jsb.2016.10.004	doi:10.1016/j.jsb.2016.10.004	1HtRUUZQi
doi:10.1016/j.jsb.2014.02.015	doi:10.1016/j.jsb.2014.02.015	doi:10.1016/j.jsb.2014.02.015	JWuvfT0Z
doi:10.1038/nmeth.4405	doi:10.1038/nmeth.4405	doi:10.1038/nmeth.4405	GNLHO53d
doi:10.1523/ENEURO.0400-20.2021	doi:10.1523/ENEURO.0400-20.2021	doi:10.1523/eneuro.0400-20.2021	RdPTGoZx
arxiv:1606.06650	arxiv:1606.06650	arxiv:1606.06650	D7hXMn0y
doi:10.1038/s41592-018-0216-7	doi:10.1038/s41592-018-0216-7	doi:10.1038/s41592-018-0216-7	12G712Zky
doi:10.1006/jsbi.1996.0013	doi:10.1006/jsbi.1996.0013	doi:10.1006/jsbi.1996.0013	136NHHp17
doi:10.1101/2022.03.07.483217	doi:10.1101/2022.03.07.483217	doi:10.1101/2022.03.07.483217	CERJ8H0p
10.1006/jsbi.1996.0013	10.1006/jsbi.1996.0013	doi:10.1006/jsbi.1996.0013	136NHHp17
doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	YuJbg3zO
